,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9
0,words,edmonton,deleting,amend,replacing,word,adding,downtown plan,ottawa,capital city
1,buses,winnipeg,pedestrian cycling,lid,cycling strategies,stormwater,diesel,public works,electric buses,edmonton
2,calgary,tes,pro,panel,citi,exp,exp tes,customer,pproval,council pproval
3,recipient,green infrastructure,contribution,canada province,schedule,green sector,ptif,eligible,nova scotia,scotia
4,winnipeg,ottawa,volume,performance report,community trends,trends performance,report volume,trend,satisfied,wpg
5,greenest,greenest city,city action,metro,metro vancouver,footprint,local food,landfill,bc,zero waste
6,edmonton,calgary,city edmonton,open spaces,river,open space,alberta,corridors,bylaw,development plan
7,calgary,edmonton,alberta,adaptation,cent,transition,per cent,resilience,oil,energy transition
8,transformto,operating budget,city toronto,mag,modelling,equity,toronto ca,gross,co benefits,ev
9,halifax,hrm,halifax partnership,economic growth,growth plan,halifax economic,nova,scotia,nova scotia,rural
