,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9
0,manitoba,allowance,entity,manitobans,hear,speaker,procurement,guarantee,winnipeg,auction
1,director,verification,registry,subsection,relation,prescribe,validation,accordance,customers,operator
2,precipitation,labrador,daily,newfoundland,equation,establishment,biomass,temperature,season,island
3,director,subsection,register,collector,island,certificate,prince,dealer,marine,retail
4,establishment,equation,metric,quantity,calculation,attributable,destruction,emitter,combustion,sectoral
5,allowance,saskatchewan,auction,shall,prescribe,brunswick,subsection,labrador,california,ministry
6,debt,abatement,ministry,labrador,newfoundland,manitoba,outlook,child,indigenous,expense
7,manitoba,island,edward,prince,collaborators,coastal,species,farm,temperatures,photo
8,levy,subsection,debt,notice,ministry,prescribe,crown,manitoba,payable,shall
9,eligible,newfoundland,rebate,labrador,name,director,indeco,manitoba,customers,subsection
